Region,Species,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2016_Q1,2016_Q2,2016_Q3,2016_Q4,2015_Q1,2015_Q2,2015_Q3,2015_Q4,2014_Q1,2014_Q2,2014_Q3,2014_Q4,2013_Q1,2013_Q2,2013_Q3,2013_Q4,2012_Q1,2012_Q2,2012_Q3,2012_Q4,2011_Q1,2011_Q2,2011_Q3,2011_Q4,2010_Q1,2010_Q2,2010_Q3,2010_Q4,2009_Q1,2009_Q2,2009_Q3,2009_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2005_Q1,2005_Q2,2005_Q3,2005_Q4,2004_Q1,2004_Q2,2004_Q3,2004_Q4,2003_Q1,2003_Q2,2003_Q3,2003_Q4,2002_Q1,2002_Q2,2002_Q3,2002_Q4
National Capital Region ,Flying fish ,,,,,16.01,16.01,16.01,16.01,,,,,3.533333333333333,5.0,3.0,2.6,5.0,0.66,0.44,2.3,6.5,25.94,3.74,0.99,6.67,23.2,2.27,0.4,1.8,43.7,2.27,0.4,0.06,78.55,1.15,3.9,5.38,5.38,5.38,5.38,,,,,,,,,,,,,,,,,2.2,2.2,2.2,2.2,,,,,7.67,7.67,7.67,7.67,,,,,,,,,,,,,8.0,1.0,1.8,1.98,,,,,,,,
National Capital Region ,Frigate tuna ,363.2,3202.15,806.78,251.12,314.93,1453.45,755.84,253.16,849.58,1213.54,425.6,89.78,340.88,1060.66,420.44,114.31,1145.9,4666.29,3337.24,894.42,512.55,3014.92,873.23,921.75,83.53,737.93,341.68,288.48,1882.47,2740.3,1080.99,176.33,3408.77,4604.15,2219.35,616.4,3283.22,3281.28,1659.2,1599.19,877.2,3480.32,739.64,1047.12,1308.03,2738.64,938.72,505.26,798.1,1118.68,586.5,1324.46,845.75,1446.91,722.36,701.31,1141.01,2647.52,1474.32,591.43,1477.48,455.96,298.72,259.4,995.98,2548.91,556.91,346.64,3278.4,3037.79,754.12,405.67,2160.88,2791.28,818.04,1034.79,2422.2,4232.0,1779.68,1068.23,3525.0,3684.0,2959.06,1113.39,3851.0,4901.0,1746.0,726.0,2526.0,3914.0,1708.0,614.0
National Capital Region ,Goatfish ,,,,,,,,,3.48,10.2,6.84,6.84,0.49,0.64,0.49,0.34,3.79,13.07,6.89,2.32,6.05,18.12,24.9,0.88,106.97,205.6,40.2,10.73,74.95,93.26,106.74,89.96,98.32,107.26,157.05,110.25,50.0,101.84,91.44,142.16,203.28,128.36,186.88,142.32,162.56,171.44,346.16,290.56,132.52,241.8,252.12,231.0,247.17,217.16,263.44,190.16,187.92,201.76,392.21,329.4,240.33,108.8,233.56,241.92,176.56,227.0,197.4,247.24,229.24,205.88,227.76,261.56,211.24,198.92,199.24,268.0,24.75,161.0,171.27,172.17,5.0,39.0,36.65,15.35,19.0,37.0,11.0,38.0,45.0,22.0,40.0,32.0
National Capital Region ,Grouper ,0.23,0.23,0.23,0.23,0.41,0.41,0.41,0.41,1.4,1.4,1.4,1.4,1.87,0.83,9.03,3.58,41.11,5.21,7.13,3.08,54.88,58.83,38.52,14.73,71.15,51.36,30.0,12.51,78.57,107.55,40.97,23.24,16.33,121.39,37.15,22.27,9.1,8.94,11.126666666666665,15.34,7.36,17.26,9.82,11.62,8.14,8.16,9.7,14.64,14.72,17.94,21.78,10.74,11.6,9.37,20.33,15.1,14.67,20.77,13.7,15.5,9.0,13.4,15.87,10.72,6.83,9.376666666666667,8.47,12.83,5.6,5.87,7.156666666666666,10.0,0.2,0.2,0.2,0.2,1.8,4.0,3.67,3.1566666666666663,28.0,6.0,5.0,3.5,14.0,4.0,34.0,4.0,52.0,52.0,100.0,4.0
National Capital Region ,Hairtail ,2.3,4.0,0.6,2.3,0.88,0.74,0.6,0.74,4.82,1.4,26.2,10.806666666666667,19.69,14.99,0.32,4.62,32.71,12.08,11.9,0.86,46.01,31.25,14.32,16.78,57.8,30.55,14.39,10.06,93.45,68.63,17.3,27.43,35.15,22.46,5.16,60.26,36.53,17.14,25.3,43.63,60.62,34.23,48.27,74.81,18.54,78.68,52.5,142.14,23.68,6.7,19.46,26.61,8.53,2.21,4.07,9.8,8.52,5.5,26.39,22.72,8.3,18.07,6.83,26.61,8.8,32.6,13.0,11.97,12.5,4.47,12.9,0.8,7.0,15.27,20.85,9.21,28.8,28.0,12.62,9.39,16.0,12.0,14.63,6.58,21.0,36.666666666666664,80.0,9.0,4.5,2.0,4.5,7.0
National Capital Region ,Indian mackerel ,129.46,244.0,129.46,14.92,47.76,80.6,47.76,14.92,9.82,9.82,9.82,9.82,37.9,11.19,25.47,25.32,53.16,13.8,22.04,5.06,27.0,36.73,42.29,25.53,49.72,67.24,116.98,12.62,94.68,173.4,148.62,138.58,126.13,185.65,165.72,145.58,61.22,171.76,168.89,166.02,81.35,216.74,193.36,314.13,99.03,318.47,266.25,507.88,93.54,71.34,138.04,300.58,142.69,150.75,230.53,373.4,117.66,354.78,486.36,419.93,88.14,78.28,254.86,265.87,15.33,64.99,175.87,257.3,169.06,232.26,860.77,299.85,217.76,194.07,255.32,191.06,169.1,493.0,959.19,528.03,392.0,522.0,1203.38,722.22,326.0,1030.0,1891.0,527.0,349.0,682.0,1132.0,684.0
National Capital Region ,Bali sardinella ,1980.77,12532.27,3689.7,1006.0,1913.36,9720.53,3678.96,1006.0,2494.76,3249.4,181.12,16.0,2110.76,6261.17,5197.96,1273.55,679.5,3108.95,5688.98,1346.4,421.69,3856.78,4468.17,1127.3,4334.97,14780.78,6874.62,1268.14,1444.79,6781.25,2579.33,99.44,2021.61,16546.6,8471.87,1510.36,1996.61,11715.14,6742.75,2041.88,918.6,5762.04,5616.39,1123.5,231.19,2533.19,3856.16,950.71,538.76,1591.28,2555.45,1429.86,329.6,593.08,1163.6,682.96,96.44,899.76,2816.04,1519.04,508.4,572.48,1602.51,696.84,314.73,2169.4,1554.81,1473.04,274.5,1082.13,1480.11,1340.07,542.2,674.13,1350.74,796.5,2304.1,2288.0,2741.76,1803.24,1338.0,3284.0,7734.47,3560.23,743.0,4191.0,5632.0,6373.0,1025.0,5912.0,7044.0,7354.0
National Capital Region ,Indo-pacific mackerel ,0.26,1.0466666666666666,2.04,0.84,0.6,0.6,0.6,0.6,7.27,1.98,1.73,3.66,10.5,16.36,34.75,7.43,39.34,17.18,17.63,11.0,69.67,41.45,44.27,35.36,56.57,42.82,47.34,40.79,92.38,84.76,49.89,43.23,164.76,216.32,68.43,75.38,83.34,42.1,48.13,200.05,108.85,60.01,119.84,204.21,62.07,115.72,91.42,85.08,129.61,61.98,56.8,73.18,160.95,98.7,321.66,275.8,28.57,31.3,564.69,328.38,39.4,20.17,71.0,110.52,66.86,50.58,49.4,36.28,39.7,29.0,55.05,64.43,30.96,48.37,81.6,46.63,24.1,81.0,44.33,128.13,65.0,87.0,122.3,183.55,1.0,47.0,2.0,12.0,1.0,29.0,2.0,5.0
National Capital Region ,Mullet ,,,,,0.6,0.6,0.6,0.6,1.3,0.79,0.79,0.28,0.52,1.0,3.4,14.4,3.15,9.24,3.24,3.7,4.76,1.34,1.7,4.67,2.23,2.14,1.78,4.96,4.51,2.62,4.9,2.74,15.93,19.45,1.14,7.91,45.64,16.5,36.88,47.3,29.78,48.24,37.36,49.34,35.56,29.5,33.28,35.72,45.16,27.12,27.14,35.78,27.74,29.33,35.81,64.97,52.33,34.9,35.25,44.86,80.47,54.8,36.77,79.33,47.3,32.48,35.27,213.87,67.5,90.0,53.87,70.67,19.0,47.9,95.25,94.55,25.0,32.0,108.33,143.33,25.0,19.0,26.75,16.13,5.0,6.0,5.0,6.0,28.0,28.0,50.0,6.0
National Capital Region ,Parrot fish ,4.666666666666667,3.4,9.52,1.08,6.12,7.76,9.52,1.08,0.72,0.72,0.72,0.72,1.61,0.86,0.51,0.9933333333333335,11.93,5.85,2.05,0.66,17.77,36.31,9.76,8.7,11.49,34.65,53.97,9.62,28.78,74.47,26.33,40.19,33.55,85.14,55.56,40.51,34.76,89.16,61.08,69.86,3.7,9.19,15.98,23.18,14.04,12.84,15.16,14.12,10.12,9.46,14.68,16.24,11.57,9.33,20.6,14.21,12.17,7.47,12.35,15.97,10.47,15.160000000000002,17.63,17.38,3.5,6.36,12.4,21.03,2.4,2.04,2.88,2.44,12.0,0.6,2.0,4.866666666666666,3.5,8.0,13.88,7.36,31.0,15.0,12.78,7.15,7.0,1.0,11.0,7.0,27.0,59.0,29.0,50.0
National Capital Region ,Porgies ,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.6266666666666666,1.14,0.7,0.04,0.46,0.79,1.61,1.33,,,,,,,,,,,,,0.4,0.4,0.12,0.68,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,,,,,,,,,0.2,0.2,0.2,0.2,,,,,5.0,2.0,8.0,5.0,2.4133333333333336,4.0,1.89,1.35,6.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0
National Capital Region ,Round herring ,10.12,86.64,111.84,17.6,51.24333333333334,24.0,111.84,17.89,128.26666666666665,60.56,206.64,117.6,3.2,20.8,20.8,38.4,8.92,8.92,8.92,8.92,,,,,0.16,29.8,63.96,25.28,19.04,12.2,0.01,79.84,0.06,2.38,32.02,54.08,,,,,41.800000000000004,41.800000000000004,24.76,58.84,,,,,40.36,40.36,10.08,70.64,,,,,,,,,,,,,8.4,4.8,8.4,12.0,,,,,4.0,4.0,4.0,4.0,2.0,8.0,8.0,14.0,10.0,5.0,1.0,5.31,10.0,10.0,10.0,10.0,31.0,31.0,31.0,31.0
National Capital Region ,Roundscad ,13132.37,23110.06,8797.28,3185.08,8389.36,23884.92,8797.28,3188.26,9472.7,14274.04,9878.84,2250.98,12149.75,24391.91,12078.42,3648.64,17475.11,31811.43,15083.42,2480.18,18043.61,18907.5,10834.77,2238.04,7452.72,13247.35,9405.69,4635.68,6509.03,14636.38,5959.84,1963.65,11906.0,25159.43,11774.11,5448.51,15216.02,18359.76,10055.86,4108.78,23705.56,31222.29,12818.33,8417.72,22630.1,30889.37,14870.71,6944.87,12115.02,14971.36,7787.88,7345.04,7727.95,18820.93,7323.64,4245.74,12373.36,17887.09,10916.3,5614.28,11234.94,8615.64,6890.38,6540.54,7964.03,17321.88,11764.13,7392.54,9986.94,16683.39,9514.82,4764.28,5672.24,14286.08,7703.12,6464.82,14424.0,27310.0,14459.28,7953.58,21572.0,33302.0,13901.77,11838.08,22152.0,37298.0,19951.0,14466.0,26576.0,38394.0,18318.0,13017.0
National Capital Region ,Siganid ,,,,,,,,,1.3,1.3,1.3,1.3,1.55,1.0,2.06,4.0,9.83,2.89,5.11,5.943333333333334,13.33,18.06,25.78,6.67,13.17,14.36,14.0,6.42,19.35,25.13,12.08,5.16,46.19,93.17,64.35,5.17,94.64666666666666,126.36,85.92,71.66,4.82,4.52,8.0,6.06,3.7,4.626666666666667,6.26,3.92,6.58,6.513333333333333,7.4,5.56,5.9,6.7,8.94,2.4,4.67,6.2,6.57,5.8133333333333335,8.2,10.4,6.0,8.2,1.88,8.0,12.0,7.293333333333333,2.2,5.67,12.37,11.75,4.8,27.43,10.33,16.17,3.3,17.0,11.3,7.77,6.0,26.0,10.02,5.0,4.0,17.0,6.0,4.0,7.0,10.0,6.0,5.0
National Capital Region ,Skipjack ,729.68,1001.19,309.67,529.66,479.22,493.53,378.87,461.91,743.94,420.87,915.74,604.9,302.86,223.87,584.92,365.2,528.21,194.43,295.34,360.27,477.35,462.18,333.24,462.12,593.67,440.82,394.88,414.84,399.17,775.29,483.08,341.99,1344.99,520.4,334.81,328.14,402.6,672.06,576.28,700.29,317.19,786.83,883.18,330.25,409.92,563.56,736.52,745.03,474.22,386.0,298.2,706.84,907.84,1598.93,256.36,508.32,1544.87,1593.68,867.49,876.59,1017.1,665.57,582.49,802.54,1038.23,1386.68,639.04,851.12,1982.5,1443.49,595.37,596.72,2796.36,2250.73,1314.45,1370.47,3957.5,3088.0,619.74,1671.78,4205.0,3108.0,1834.58,2447.34,4237.0,3661.0,1040.0,1406.0,3912.0,3163.0,1394.0,1513.0
National Capital Region ,Slipmouth ,6.3,12.4,525.72,210.08,253.86666666666667,25.8,525.72,210.08,6.26,21.32,63.04,83.56,9.71,9.24,38.38,14.61,32.13,11.58,27.22,14.23,45.22,46.02,530.82,208.03,65.24,89.56,473.74,98.44,308.22,164.3,176.22,342.54,27.81,71.54,870.71,748.5,50.32,130.68,408.12,280.04,25.4,458.67,331.81,429.64,24.02,78.29,138.82,229.37,33.84,20.84,109.15,122.21,49.94,24.93,58.27,57.41,21.27,19.8,81.17,56.69,16.1,33.59,22.83,59.8,12.2,10.91,40.2,5.58,8.48,3.89,34.65,18.52,7.6,18.88,27.52,16.04,37.8,52.0,12.44,51.8,59.0,59.0,60.12,82.29,73.0,67.0,56.0,71.0,107.0,25.0,14.0,75.0
National Capital Region ,Snapper ,,,,,0.38,0.38,0.38,0.38,2.09,2.09,2.09,2.09,3.76,1.02,3.21,0.79,15.83,3.78,3.06,1.49,26.87,99.16,37.91,12.89,27.66,73.07,23.06,11.94,24.59,132.97,33.5,16.63,9.04,13.86,4.22,11.92,0.6,0.28,9.9,3.96,1.8,1.8,1.8,1.8,1.54,2.4,0.68,1.54,,,,,,,,,,,,,0.4,0.4,0.4,0.4,1.0,1.0,1.0,1.0,,,,,7.0,7.0,7.0,7.0,5.05,5.3933333333333335,5.08,6.05,2.0,2.0,2.57,5.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,10.0
National Capital Region ,Spanish mackerel ,13.81,6.9750000000000005,6.9750000000000005,0.14,25.68,8.39,1.45,1.4,2.4,0.22,2.07,3.59,3.27,1.36,4.84,7.28,22.48,11.03,3.97,3.89,29.25,83.65,33.34,30.35,30.02,73.13,35.66,25.46,35.68,124.47,37.56,30.43,27.86,92.1,36.44,36.48,4.34,9.0,32.6,14.78,3.2,8.66,13.84,12.4,1.7,9.6,7.5,10.78,11.1,7.06,11.78,9.58,7.17,5.27,12.58,12.97,3.95,1.0,5.15,11.67,5.0,3.33,4.9,4.17,7.13,5.466666666666668,5.67,3.6,7.613333333333333,9.6,4.84,8.4,37.2,94.04,47.6,11.56,66.8,332.0,26.56,141.78666666666666,4.0,73.0,8.1,44.13,5.0,4.666666666666667,1.0,8.0,30.0,8.0,23.0,28.0
National Capital Region ,Squid ,17.8,12.48,7.16,12.48,0.4,1.72,7.44,3.186666666666667,9.39,104.56,89.36,20.32,17.95,1.6,25.77,12.38,63.85,21.76,11.03,10.16,85.52,122.26,55.47,76.96,63.82,130.92,70.52,133.04,75.79,158.95,67.94,54.95,16.78,71.69,58.26,145.69,109.68,30.26,14.18,35.86,18.76,35.7,34.96,23.49,106.41,118.2,32.36,68.1,47.86,60.6,52.22,41.48,56.32,85.89,25.5,68.98,49.77,122.88,36.29,41.56,57.9,38.61,14.97,24.67,61.7,106.05,38.12,26.1,91.44,173.96,31.72,33.67,42.96,89.17,26.7,24.82,69.1,161.0,33.9,12.04,68.0,34.0,44.0,92.89,55.0,6.0,4.0,7.0,71.0,15.0,4.0,155.0
National Capital Region ,Threadfin bream ,41.44,14.0,89.32,63.24,164.4,83.38,89.32,63.24,236.69,402.0,92.0,0.96,227.34,323.12,221.9,514.1,217.93,486.49,347.3,345.96,152.18,132.95,285.45,325.77,229.45,409.59,78.68,81.36,221.43,460.0,419.91,298.05,206.56,348.59,289.08,306.53,174.29,172.21,182.36,192.74,511.2,298.52,355.02,238.04,894.06,936.81,896.53,660.26,1367.3,1667.85,1225.32,858.24,1306.84,1641.75,1799.83,1436.69,1279.86,655.18,1590.63,1680.04,1628.74,368.8,1551.93,2054.76,1712.31,1752.52,1664.44,1515.5,1746.57,2125.85,2482.65,2064.55,1525.92,1944.55,1887.5,1961.68,366.1,706.0,2033.39,2018.33,325.0,492.0,347.86,306.72,184.0,236.0,208.0,187.0,88.0,109.0,98.0,146.0
National Capital Region ,Yellowfin tuna ,255.89,558.79,434.43,365.92,285.89,316.96,531.03,291.74,76.83,138.59,578.44,502.34,88.87,59.69,105.86,156.84,136.96,62.39,173.14,128.96,114.92,181.37,167.93,206.79,116.87,174.25,112.26,144.7,177.36,391.79,228.47,161.41,130.07,373.69,196.9,381.32,157.63,186.35,91.25,292.84,129.96,198.24,269.03,215.16,140.42,184.89,224.4,291.67,174.8,170.52,174.44,216.72,211.44,206.4,163.04,219.64,331.49,304.2,348.21,348.57,211.04,125.77,240.55,358.65,167.79,281.72,313.8,448.48,162.44,297.65,263.79,191.83,316.24,308.95,207.29,302.51,307.0,210.0,222.14,591.65,254.0,199.0,349.82,391.59,359.0,362.0,209.0,211.0,1028.0,865.0,322.0,376.0
National Capital Region ,Others,1512.25,4076.45,258.48,183.22,1587.59,1010.99,261.0,151.35,621.25,523.29,932.57,357.58,688.15,378.18,420.83,527.94,1122.38,2303.44,1423.18,478.86,2281.16,802.72,153.64,665.68,1546.33,1209.61,1131.38,826.74,2209.1,1329.19,1522.07,1630.92,1505.09,2159.28,2585.71,1699.47,1837.98,883.38,1283.85,1597.64,2236.59,2185.5,2181.15,2454.37,1751.97,2578.21,2406.54,3114.66,1232.48,1596.79,1893.54,2774.65,1765.37,2053.05,1617.64,1793.52,1540.21,1093.33,2349.22,2230.28,997.9,2812.03,1192.33,1698.24,1282.62,1150.21,1037.24,1252.81,1210.87,1331.36,1546.18,1668.21,1040.7,1181.54,907.35,1165.13,1046.0,3389.68,2171.62,2636.52,3002.0,2083.0,1264.54,2241.41,2259.0,1928.0,1005.0,1508.0,2304.0,1268.0,1070.0,2372.0
Cordillera Administrative Region ,Acetes ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
